horizon,mse,rmse,mae,mape,mdape,smape,coverage
9 days,44.81577432071093,6.694458478526171,4.689467749356509,0.05359647600646199,0.035526954940084586,0.054581230272548936,0.49348072562358275
10 days,47.20485954110419,6.870579272601706,4.842517922533611,0.054888594968348796,0.038656938635821946,0.05602273304705984,0.4758771929824561
11 days,49.28219897363853,7.020128130856198,5.016210981462908,0.05679870163709181,0.04118867903641771,0.05819863842138036,0.45601851851851855
12 days,50.65928518296573,7.117533644666931,5.093294051612718,0.05755547447224416,0.04118867903641771,0.05903549622111701,0.4526942355889724
13 days,52.16270404764024,7.222375235865292,5.228093554665167,0.05929925315153708,0.04316602766277179,0.0607329960259673,0.44179894179894186
14 days,50.719776166707085,7.121781811225832,5.199810315981263,0.05954833148633752,0.04351145432013503,0.060740167419475535,0.43154761904761907
15 days,51.940905165399855,7.207003896585588,5.3053390977574635,0.06079463337839859,0.049383241151034055,0.06197240287528406,0.4107142857142857
16 days,51.04866196757706,7.144834635425585,5.325276446908786,0.06082716126976964,0.04997360927336447,0.062034130331403654,0.39512471655328796
17 days,48.252962491247295,6.946435236237886,5.385318857907912,0.06202655504086309,0.04997360927336447,0.0631420937157497,0.3642857142857143
18 days,47.205792116045465,6.870647139538274,5.583259209479618,0.06516064921301613,0.059814158928805955,0.06628025456659645,0.32299498746867167
19 days,48.12886971383482,6.93749736676237,5.5967995045393435,0.06558260967241801,0.060176791265555786,0.06675416560517199,0.32936507936507936
20 days,48.7842238124516,6.984570410014606,5.636492281088875,0.06636595573828982,0.06252002497442356,0.0672640548029902,0.33270676691729323
21 days,48.530419125858565,6.966377762213198,5.678589107784653,0.06714674934021074,0.06285976837758911,0.06783883348692263,0.32675438596491224
22 days,54.2793061594756,7.367449094461095,5.906246091244081,0.06907503914545812,0.06541621132653641,0.06990331363427985,0.31390977443609025
23 days,60.87828117095602,7.802453535328231,6.148015352650485,0.0710203501319917,0.0670535169196707,0.07193629898253587,0.3198621553884712
24 days,71.0030704574753,8.42633196933727,6.474132033966368,0.07381745201802975,0.06860389115782786,0.0749426584026786,0.32456140350877194
25 days,80.44373717760921,8.969043269915092,6.824100550455734,0.07712062328798033,0.07230956615508526,0.07851105019926326,0.33302005012531327
26 days,86.47414141207642,9.299147348659254,6.932348350974952,0.07768003930154016,0.07324844641643277,0.0792066184893827,0.3593358395989975
27 days,87.53184138349293,9.355845305662815,7.003346496617327,0.07829285365783699,0.0725144901834549,0.07967373596679124,0.37593984962406013
28 days,90.63919558930257,9.520461942012194,7.188040682581952,0.08035840127988911,0.07360581761026995,0.08176495292575335,0.3787593984962406
29 days,92.18496152136763,9.601299991218253,7.230850498839165,0.08017359938855224,0.07360581761026995,0.0818383633547503,0.3831453634085213
30 days,93.52261748008694,9.670709254242263,7.27753873450719,0.08027112114823488,0.07435394043862556,0.08205402901368719,0.3947368421052631
31 days,96.626604298695,9.829883229148503,7.4497013640005525,0.08249991863806742,0.07673491075731187,0.08422885478964781,0.3958333333333333
32 days,97.8608006795484,9.892461810871367,7.594408185702414,0.08467210634383686,0.0769439342601358,0.0864170642327542,0.393483709273183
33 days,95.67002593483933,9.781105557902917,7.644739603553488,0.08628729834490886,0.07822607572574686,0.08786715610390378,0.393483709273183
34 days,95.99845728703303,9.797880244574998,7.7168340025176985,0.08813862381981889,0.07918820511032659,0.08922429596508083,0.3969298245614035
35 days,96.78960962274074,9.838171050695385,7.8084434772322835,0.0900524022877317,0.07966686943566362,0.09078222589199314,0.40773809523809523
36 days,98.13322403157062,9.906221481047687,7.813008896389282,0.09034946599763366,0.08092563219333883,0.0909430963014383,0.4212962962962963
37 days,98.70546843962703,9.935062578546097,7.848228226859321,0.09084622913476939,0.0811003778913751,0.09131580984051697,0.42857142857142855
38 days,104.52697327908241,10.223843371212336,8.11806513206923,0.09421465340046412,0.08466601982821079,0.09443483450914694,0.4354636591478697
39 days,107.3520012196566,10.361081083538368,8.192527609160138,0.09527120228234606,0.08798128321573856,0.09536788332616496,0.4552005012531328
40 days,105.76909762029307,10.284410416756668,8.083017922005306,0.09419238631183842,0.08466601982821079,0.09436570459014554,0.4841269841269841
41 days,109.69550743213784,10.473562308600538,8.128606073991667,0.09460312752347813,0.07777421004561899,0.09466129609364067,0.5075187969924811
42 days,111.12350678397203,10.541513495887203,8.048074711004677,0.09376061831470904,0.07265220228677954,0.0937947642388117,0.5423280423280423
43 days,107.7520217539453,10.380367130017381,7.85117201499683,0.09116539286100092,0.0695381515675288,0.09141151107725767,0.5764411027568922
44 days,104.0052557468486,10.198296708119871,7.654963092061943,0.0881692476700811,0.0661556597249855,0.08837739421280918,0.6011904761904762
45 days,109.14025161205791,10.447021183670392,7.783837192499256,0.0891089900132526,0.0695381515675288,0.08936602674835135,0.6071428571428571
46 days,114.30473911023861,10.6913394441594,7.8998392959896835,0.09027740164456943,0.06566209304950543,0.09042007916002677,0.6190476190476191
47 days,118.22154672859548,10.872973223943646,7.9937817103598725,0.091459423764881,0.06533574141363176,0.09167103269482484,0.6278195488721805
48 days,126.43990083364845,11.2445498279677,8.296914648495665,0.0945491366992106,0.06711828280382574,0.09511662035340225,0.6199874686716792
